DQAID,WID,TSN,T7_1,T7_2,T7_3,T7_4,T7_5,T7_6,T7_7,T7_8,T7_9,T7_10,T7_11,LAST SYNC DATE
3117873568,10051168,1,4,1,1,9,2,6,1,5,2,2,2,04/01/2019,
3117453921,10047912,1,4,1,1,4,1,6,3,13,2,1,2,23/12/2017,
3117163653,10044704,1,4,1,1,3,2,1,3,13,2,2,2,22/10/2018,
3316902099,10057733,1,2,1,1,5,1,6,1,4,2,1,2,29/01/2019,
3316681771,10060508,1,6,1,1,4,1,1,1,5,2,1,2,28/02/2018,
3117694576,10060805,1,2,1,1,9,1,6,1,2,2,1,2,02/05/2018,
3117286370,10054641,1,1,1,1,10,1,6,3,15,2,2,2,27/04/2019,
3316193905,10070688,1,1,1,2,9,1,6,1,5,2,1,2,04/01/2019,
3117152691,10052505,1,5,1,1,4,1,1,1,3,2,2,2,31/01/2019,
3117292946,10044623,1,5,1,1,4,2,1,3,8,2,2,2,08/04/2019,
3117059267,10060931,1,5,1,1,4,1,1,3,13,2,2,2,04/01/2019,
3316401053,10051614,1,5,1,1,2,2,1,1,4,1,,,11/02/2019,
3117551629,10044823,1,5,1,1,4,1,1,3,13,2,2,2,30/01/2018,
3117861373,10068507,1,4,1,1,5,1,1,1,5,2,2,2,18/04/2019,
3316580754,10063824,1,4,1,1,9,1,6,1,1,2,1,1,18/01/2019,
3316839386,10068051,1,4,1,1,5,1,1,1,2,2,1,1,09/03/2019,
3117105905,10065300,2,5,1,1,2,2,1,3,12,1,2,2,20/02/2019,
3216268270,10044636,1,4,1,1,9,1,2,3,12,2,1,2,04/01/2019,
3316332235,10057172,1,5,1,1,4,1,1,3,19,2,2,2,23/12/2017,
3216267095,10046610,1,5,1,1,8,2,1,3,16,2,2,2,23/12/2017,
3216340441,10046744,1,4,1,1,2,2,1,3,16,2,2,2,23/12/2017,
3216796791,10056500,1,2,1,1,5,2,6,3,13,2,1,2,23/12/2017,
3117807619,10069703,1,6,1,1,4,1,1,3,14,2,2,2,19/02/2019,
3117233380,10056071,1,4,1,1,4,1,1,1,3,2,2,2,23/01/2019,
3117008752,10059927,1,3,1,1,9,1,2,3,13,2,1,1,22/04/2019,
3316755074,10066534,1,4,1,1,5,2,6,3,13,2,2,2,04/01/2019,
3316067505,10054696,1,4,1,1,2,2,2,3,13,2,2,2,29/03/2018,
3117739385,10044037,1,6,1,1,4,1,1,1,3,2,2,2,04/01/2019,
3117103043,10061189,1,6,1,1,3,2,1,3,14,2,,,29/03/2018,
3117445707,10051069,1,2,1,1,9,1,2,3,15,1,2,2,02/05/2018,
3117971912,10052536,1,4,1,1,5,2,6,3,24,2,1,1,07/02/2019,
3117309857,10063405,1,4,1,1,4,1,1,1,4,2,2,2,18/03/2019,
3117352441,10059818,1,5,1,1,1,2,1,3,15,2,2,2,26/04/2019,
3117121585,10070129,1,5,1,1,5,1,1,3,8,2,2,,17/10/2018,
3316063207,10072046,1,2,1,1,6,1,2,3,8,2,1,1,26/09/2018,
